[INFO] 13:33:04:165 DataNode/(3490:3490): Se cargo correctamente DataNode cuyo nombre es NODO1.
[ERROR] 13:33:04:165 DataNode/(3490:3490): Error al tratar de abrir el archivo.
[INFO] 13:33:18:653 DataNode/(3493:3493): Se cargo correctamente DataNode cuyo nombre es NODO1.
[ERROR] 13:33:18:653 DataNode/(3493:3493): Error al tratar de abrir el archivo.
[INFO] 13:36:43:794 DataNode/(3501:3501): Se cargo correctamente DataNode cuyo nombre es NODO1.
[ERROR] 13:36:43:794 DataNode/(3501:3501): Error al tratar de abrir el archivo.
[INFO] 13:37:10:465 DataNode/(3544:3544): Se cargo correctamente DataNode cuyo nombre es NODO1.
[INFO] 13:37:10:465 DataNode/(3544:3544): Archivo binario de 104857600 bytes encontrado
[INFO] 13:37:10:465 DataNode/(3544:3544): Conexion con FileSystem existosa.
[INFO] 13:37:10:465 DataNode/(3544:3544): Informacion de nodo enviada a FS.
[INFO] 13:37:21:345 DataNode/(3573:3573): Se cargo correctamente DataNode cuyo nombre es NODO2.
[INFO] 13:37:21:345 DataNode/(3573:3573): Archivo binario de 104857600 bytes encontrado
[INFO] 13:37:21:346 DataNode/(3573:3573): Conexion con FileSystem existosa.
[INFO] 13:37:21:346 DataNode/(3573:3573): Informacion de nodo enviada a FS.
[ERROR] 13:38:06:185 DataNode/(3544:3544): Murio FileSystem. Terminando proceso
[ERROR] 13:38:06:185 DataNode/(3573:3573): Murio FileSystem. Terminando proceso
[INFO] 13:38:33:807 DataNode/(3638:3638): Se cargo correctamente DataNode cuyo nombre es NODO1.
[INFO] 13:38:33:807 DataNode/(3638:3638): Archivo binario de 104857600 bytes encontrado
[INFO] 13:38:33:808 DataNode/(3638:3638): Conexion con FileSystem existosa.
[INFO] 13:38:33:808 DataNode/(3638:3638): Informacion de nodo enviada a FS.
[INFO] 13:38:34:447 DataNode/(3640:3640): Se cargo correctamente DataNode cuyo nombre es NODO2.
[INFO] 13:38:34:447 DataNode/(3640:3640): Archivo binario de 314572800 bytes encontrado
[INFO] 13:38:34:448 DataNode/(3640:3640): Conexion con FileSystem existosa.
[INFO] 13:38:34:448 DataNode/(3640:3640): Informacion de nodo enviada a FS.
[INFO] 13:39:35:541 DataNode/(3638:3638): Se recibio SIGINT. Finalizando proceso
[INFO] 13:41:07:685 DataNode/(3660:3660): Escritura en bloque numero: 20
[INFO] 13:41:07:702 DataNode/(3661:3661): Escritura en bloque numero: 21
[INFO] 13:41:07:713 DataNode/(3660:3660): Escritura en bloque numero: 21
[INFO] 13:41:07:726 DataNode/(3661:3661): Escritura en bloque numero: 22
[INFO] 13:41:07:736 DataNode/(3660:3660): Escritura en bloque numero: 22
[INFO] 13:41:07:777 DataNode/(3661:3661): Escritura en bloque numero: 23
[INFO] 13:41:07:789 DataNode/(3660:3660): Escritura en bloque numero: 23
[INFO] 13:41:07:800 DataNode/(3661:3661): Escritura en bloque numero: 24
[INFO] 13:41:07:810 DataNode/(3660:3660): Escritura en bloque numero: 24
[INFO] 13:41:07:828 DataNode/(3661:3661): Escritura en bloque numero: 25
[INFO] 13:41:07:839 DataNode/(3660:3660): Escritura en bloque numero: 25
[INFO] 13:41:07:852 DataNode/(3661:3661): Escritura en bloque numero: 26
[INFO] 13:41:07:862 DataNode/(3660:3660): Escritura en bloque numero: 26
[INFO] 13:41:07:933 DataNode/(3661:3661): Escritura en bloque numero: 27
[INFO] 13:41:07:945 DataNode/(3660:3660): Escritura en bloque numero: 27
[INFO] 13:41:07:958 DataNode/(3661:3661): Escritura en bloque numero: 28
[INFO] 13:41:07:974 DataNode/(3660:3660): Escritura en bloque numero: 28
[INFO] 13:41:07:984 DataNode/(3661:3661): Escritura en bloque numero: 29
[INFO] 13:41:07:993 DataNode/(3660:3660): Escritura en bloque numero: 29
[INFO] 13:41:08:12 DataNode/(3661:3661): Escritura en bloque numero: 30
[INFO] 13:41:08:22 DataNode/(3660:3660): Escritura en bloque numero: 30
[INFO] 13:41:08:92 DataNode/(3661:3661): Escritura en bloque numero: 31
[INFO] 13:41:08:105 DataNode/(3660:3660): Escritura en bloque numero: 31
[INFO] 13:41:08:121 DataNode/(3661:3661): Escritura en bloque numero: 32
[INFO] 13:41:08:131 DataNode/(3660:3660): Escritura en bloque numero: 32
[INFO] 13:41:08:142 DataNode/(3661:3661): Escritura en bloque numero: 33
[INFO] 13:41:08:155 DataNode/(3660:3660): Escritura en bloque numero: 33
[INFO] 13:41:08:169 DataNode/(3661:3661): Escritura en bloque numero: 34
[INFO] 13:41:08:179 DataNode/(3660:3660): Escritura en bloque numero: 34
[INFO] 13:41:08:197 DataNode/(3661:3661): Escritura en bloque numero: 35
[INFO] 13:41:08:207 DataNode/(3660:3660): Escritura en bloque numero: 35
[INFO] 13:41:08:224 DataNode/(3661:3661): Escritura en bloque numero: 36
[INFO] 13:41:08:235 DataNode/(3660:3660): Escritura en bloque numero: 36
[INFO] 13:41:08:250 DataNode/(3661:3661): Escritura en bloque numero: 37
[INFO] 13:41:08:260 DataNode/(3660:3660): Escritura en bloque numero: 37
[INFO] 13:41:08:280 DataNode/(3661:3661): Escritura en bloque numero: 38
[INFO] 13:41:08:289 DataNode/(3660:3660): Escritura en bloque numero: 38
[INFO] 13:41:08:300 DataNode/(3661:3661): Escritura en bloque numero: 39
[INFO] 13:41:08:347 DataNode/(3660:3660): Escritura en bloque numero: 39
[INFO] 13:41:08:360 DataNode/(3661:3661): Escritura en bloque numero: 40
[INFO] 13:41:08:370 DataNode/(3660:3660): Escritura en bloque numero: 40
[INFO] 13:41:08:384 DataNode/(3661:3661): Escritura en bloque numero: 41
[INFO] 13:41:08:411 DataNode/(3660:3660): Escritura en bloque numero: 41
[INFO] 13:41:08:423 DataNode/(3661:3661): Escritura en bloque numero: 42
[INFO] 13:41:08:434 DataNode/(3660:3660): Escritura en bloque numero: 42
[INFO] 13:41:08:455 DataNode/(3661:3661): Escritura en bloque numero: 43
[INFO] 13:41:08:465 DataNode/(3660:3660): Escritura en bloque numero: 43
[INFO] 13:41:08:481 DataNode/(3661:3661): Escritura en bloque numero: 44
